,OpenTime,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_volume,CloseTime,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAv,BTC-TBQAv,BTC-ignore
0,2021-07-15 01:00:00,32820.03,33046.86,32651.26,32951.87,1417.226922,2021-07-15 01:59:59.999,46577856.42378077,33122.0,707.715875,23266475.63580879,0.0
1,2021-07-15 02:00:00,32952.6,33185.25,32762.5,32784.33,2033.699532,2021-07-15 02:59:59.999,67103057.03883283,54505.0,965.396852,31859759.52561145,0.0
2,2021-07-15 03:00:00,32784.33,32911.03,32690.59,32760.0,1375.095881,2021-07-15 03:59:59.999,45094892.64403783,28721.0,651.411155,21363389.00257441,0.0
3,2021-07-15 04:00:00,32760.0,32785.23,32580.12,32641.65,1322.780939,2021-07-15 04:59:59.999,43261536.09003599,25536.0,675.275665,22086014.58655857,0.0
4,2021-07-15 05:00:00,32641.66,32691.42,32441.86,32665.53,1706.064562,2021-07-15 05:59:59.999,55544426.43891905,66033.0,837.399286,27266138.74405133,0.0
5,2021-07-15 06:00:00,32665.53,32665.53,32473.72,32583.9,923.639498,2021-07-15 06:59:59.999,30089185.3740928,63491.0,455.567908,14841775.47720828,0.0
6,2021-07-15 07:00:00,32582.71,32650.0,32366.12,32483.0,1404.628993,2021-07-15 07:59:59.999,45671242.18805406,34455.0,636.188895,20686101.07254337,0.0
7,2021-07-15 08:00:00,32483.0,32600.0,32359.65,32469.5,1675.703792,2021-07-15 08:59:59.999,54401098.87431377,31318.0,879.946766,28569290.76854106,0.0
8,2021-07-15 09:00:00,32468.3,32551.99,32316.45,32376.51,1977.11793,2021-07-15 09:59:59.999,64115212.03258455,38713.0,967.00133,31361346.66020683,0.0
9,2021-07-15 10:00:00,32376.5,32620.31,32332.54,32505.0,1945.908662,2021-07-15 10:59:59.999,63224540.13402549,38062.0,1069.342096,34748456.54034348,0.0
10,2021-07-15 11:00:00,32505.0,32579.33,31816.06,31866.76,4565.895068,2021-07-15 11:59:59.999,146715857.80070165,83449.0,2100.669829,67538348.76246539,0.0
11,2021-07-15 12:00:00,31866.76,31992.58,31800.0,31880.5,2077.289315,2021-07-15 12:59:59.999,66262611.27260015,43361.0,888.964761,28359207.90864185,0.0
12,2021-07-15 13:00:00,31880.5,32152.97,31605.84,31723.25,3580.639832,2021-07-15 13:59:59.999,113830509.13301829,68397.0,1648.383814,52419877.38632868,0.0
13,2021-07-15 14:00:00,31723.25,31923.35,31455.0,31828.82,3989.717676,2021-07-15 14:59:59.999,126580293.49848273,70951.0,1787.129915,56724174.9094025,0.0
14,2021-07-15 15:00:00,31828.86,31957.77,31675.5,31771.83,1974.800711,2021-07-15 15:59:59.999,62848769.76584166,41216.0,950.622192,30251998.39166273,0.0
15,2021-07-15 16:00:00,31771.83,31829.99,31653.5,31677.01,2355.484135,2021-07-15 16:59:59.999,74803651.34148015,35348.0,1405.041179,44632879.22168644,0.0
16,2021-07-15 17:00:00,31678.5,31737.68,31475.32,31598.85,2677.649049,2021-07-15 17:59:59.999,84602252.27700163,53138.0,1245.632114,39365601.47118107,0.0
17,2021-07-15 18:00:00,31598.85,31598.86,31133.0,31276.88,4767.335362,2021-07-15 18:59:59.999,149276274.0477112,81933.0,2182.73072,68330118.29253054,0.0
18,2021-07-15 19:00:00,31276.87,31527.54,31230.0,31455.11,1897.734109,2021-07-15 19:59:59.999,59551574.19111349,41438.0,971.352948,30483743.50902301,0.0
19,2021-07-15 20:00:00,31455.12,31800.0,31394.4,31533.62,1931.505721,2021-07-15 20:59:59.999,60965557.72317946,38672.0,902.98186,28502792.61299854,0.0
20,2021-07-15 21:00:00,31538.92,31840.88,31528.52,31752.41,2036.517917,2021-07-15 21:59:59.999,64494053.42637478,36709.0,1085.214263,34371710.1096956,0.0
21,2021-07-15 22:00:00,31752.4,31803.72,31645.0,31666.35,1348.345284,2021-07-15 22:59:59.999,42795113.30448116,31980.0,554.368507,17596374.57354981,0.0
22,2021-07-15 23:00:00,31666.35,31868.53,31622.0,31772.95,1211.656739,2021-07-15 23:59:59.999,38501930.22341789,27356.0,601.814336,19123364.21830007,0.0
23,2021-07-16 00:00:00,31772.95,31898.0,31503.35,31880.0,1443.138724,2021-07-16 00:59:59.999,45766470.19247843,31463.0,696.253521,22082076.31523519,0.0
24,2021-07-16 01:00:00,31874.49,31940.0,31556.95,31644.03,2165.772659,2021-07-16 01:59:59.999,68727113.10722321,38382.0,1201.489876,38150227.13241921,0.0
25,2021-07-16 02:00:00,31644.04,31884.7,31640.0,31808.4,1301.205122,2021-07-16 02:59:59.999,41365080.79395475,26153.0,663.748378,21099687.62324953,0.0
26,2021-07-16 03:00:00,31808.41,32049.45,31762.97,31904.26,2728.187761,2021-07-16 03:59:59.999,87077391.87693568,36031.0,1491.038627,47596368.76496615,0.0
27,2021-07-16 04:00:00,31904.25,32020.23,31874.13,31914.89,1352.540088,2021-07-16 04:59:59.999,43201119.08332906,26331.0,621.732535,19860221.72412464,0.0
28,2021-07-16 05:00:00,31914.9,32020.0,31851.27,31907.57,1207.949575,2021-07-16 05:59:59.999,38569166.48799861,39202.0,614.568768,19622215.21781547,0.0
29,2021-07-16 06:00:00,31907.57,31966.94,31719.73,31797.02,1353.26601,2021-07-16 06:59:59.999,43053868.4348254,27229.0,653.835641,20798896.81844998,0.0
30,2021-07-16 07:00:00,31800.41,31804.99,31548.15,31609.14,2043.109668,2021-07-16 07:59:59.999,64694417.73837977,36220.0,968.892583,30675849.19331333,0.0
31,2021-07-16 08:00:00,31609.13,31796.42,31561.88,31774.49,1351.134097,2021-07-16 08:59:59.999,42789387.99852686,42314.0,644.851082,20424135.86939469,0.0
32,2021-07-16 09:00:00,31779.98,31779.99,31375.93,31473.0,2419.227912,2021-07-16 09:59:59.999,76326662.84578887,57700.0,1076.268379,33960186.46158056,0.0
