,OpenTime,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,CloseTime,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAv,ETH-TBQAv,ETH-ignore
0,2021-07-15 01:00:00,1994.41,2007.68,1972.43,2003.63,23197.15935,2021-07-15 01:59:59.999,46186744.6263568,27821.0,11109.47447,22123114.9290998,0.0
1,2021-07-15 02:00:00,2003.64,2042.88,1998.56,2000.57,47615.23221,2021-07-15 02:59:59.999,96492804.3251781,57842.0,26491.05672,53705400.5008524,0.0
2,2021-07-15 03:00:00,2000.69,2013.35,1986.03,1990.58,26724.01263,2021-07-15 03:59:59.999,53365737.9205181,33909.0,14118.97461,28184973.5678418,0.0
3,2021-07-15 04:00:00,1990.58,1991.35,1978.06,1979.28,15395.39895,2021-07-15 04:59:59.999,30552023.3247066,33677.0,7233.41237,14355472.0850911,0.0
4,2021-07-15 05:00:00,1979.06,1985.46,1955.6,1973.12,28179.14084,2021-07-15 05:59:59.999,55456380.7654487,45658.0,13219.69935,26018888.0112424,0.0
5,2021-07-15 06:00:00,1973.13,1973.21,1956.09,1963.82,17749.6686,2021-07-15 06:59:59.999,34865198.1821141,61442.0,8489.58655,16677998.7134978,0.0
6,2021-07-15 07:00:00,1963.82,1971.56,1947.0,1955.09,20199.5475,2021-07-15 07:59:59.999,39544695.4460914,39200.0,9883.11444,19351834.1326838,0.0
7,2021-07-15 08:00:00,1955.09,1960.6,1942.61,1954.02,18052.53126,2021-07-15 08:59:59.999,35251090.6166614,28480.0,9705.34311,18952665.2179077,0.0
8,2021-07-15 09:00:00,1954.01,1969.0,1946.6,1957.42,24004.44314,2021-07-15 09:59:59.999,47014615.9840699,29805.0,13976.53486,27382721.3984886,0.0
9,2021-07-15 10:00:00,1957.43,1978.41,1951.74,1966.8,24423.53911,2021-07-15 10:59:59.999,48070850.5897232,31228.0,12870.76863,25334050.5438985,0.0
10,2021-07-15 11:00:00,1966.79,1976.44,1909.07,1915.48,53796.0155,2021-07-15 11:59:59.999,104105877.9508583,61997.0,25691.54917,49728023.5304277,0.0
11,2021-07-15 12:00:00,1915.73,1923.22,1905.0,1912.97,27834.97933,2021-07-15 12:59:59.999,53308300.1371151,33441.0,14040.69997,26890484.3912581,0.0
12,2021-07-15 13:00:00,1912.96,1940.88,1887.18,1899.02,59280.27314,2021-07-15 13:59:59.999,112958594.9446931,71678.0,28819.99161,54942619.6527915,0.0
13,2021-07-15 14:00:00,1899.04,1925.76,1884.34,1920.01,39228.10268,2021-07-15 14:59:59.999,74785359.0226439,46418.0,20320.1773,38750419.035217,0.0
14,2021-07-15 15:00:00,1920.01,1934.51,1907.0,1918.75,31727.81044,2021-07-15 15:59:59.999,60940664.9154437,34145.0,15021.16588,28855100.788774,0.0
15,2021-07-15 16:00:00,1918.76,1930.48,1911.82,1913.79,22254.63179,2021-07-15 16:59:59.999,42768373.7010009,23428.0,10791.09573,20738428.7350619,0.0
16,2021-07-15 17:00:00,1913.86,1918.78,1888.14,1905.05,31870.10756,2021-07-15 17:59:59.999,60652673.3986701,37023.0,16119.7981,30682429.754278,0.0
17,2021-07-15 18:00:00,1905.05,1909.35,1881.0,1899.44,39116.80595,2021-07-15 18:59:59.999,74072602.2301363,42305.0,18817.23825,35620506.2441116,0.0
18,2021-07-15 19:00:00,1899.44,1924.9,1895.94,1914.96,23811.50227,2021-07-15 19:59:59.999,45486702.2986642,27422.0,13234.47779,25285498.4959419,0.0
19,2021-07-15 20:00:00,1914.95,1930.45,1907.14,1917.38,18721.31363,2021-07-15 20:59:59.999,35890855.6375848,23929.0,10253.6806,19661134.8360084,0.0
20,2021-07-15 21:00:00,1917.59,1931.09,1917.41,1926.22,13078.83282,2021-07-15 21:59:59.999,25159912.7754406,18088.0,6809.94525,13101260.4896297,0.0
21,2021-07-15 22:00:00,1926.22,1935.81,1915.35,1918.32,10052.05732,2021-07-15 22:59:59.999,19359127.5746894,17262.0,5176.08173,9967980.560285,0.0
22,2021-07-15 23:00:00,1918.28,1934.89,1910.99,1922.16,12887.48639,2021-07-15 23:59:59.999,24786940.8940414,17777.0,6841.73942,13158456.0383628,0.0
23,2021-07-16 00:00:00,1922.43,1929.03,1900.41,1919.51,16070.73322,2021-07-16 00:59:59.999,30758282.679922,21058.0,8237.87887,15771392.0354235,0.0
24,2021-07-16 01:00:00,1919.54,1926.19,1895.86,1907.09,20058.57369,2021-07-16 01:59:59.999,38302321.8830551,25902.0,9901.71678,18919062.4033592,0.0
25,2021-07-16 02:00:00,1907.29,1929.0,1907.29,1925.2,22905.39224,2021-07-16 02:59:59.999,43964956.5963887,22447.0,13640.26361,26184866.4071865,0.0
26,2021-07-16 03:00:00,1925.17,1957.71,1925.17,1946.7,29333.01037,2021-07-16 03:59:59.999,57079060.7176228,40272.0,14999.13565,29184121.9442968,0.0
27,2021-07-16 04:00:00,1946.69,1956.5,1943.72,1949.04,13777.41931,2021-07-16 04:59:59.999,26866352.9403074,19651.0,7033.03823,13714322.4299322,0.0
28,2021-07-16 05:00:00,1949.03,1965.0,1941.56,1945.35,16330.57931,2021-07-16 05:59:59.999,31858875.6511226,23552.0,7917.06027,15448930.132786,0.0
29,2021-07-16 06:00:00,1945.34,1949.79,1924.0,1928.55,17414.67351,2021-07-16 06:59:59.999,33704761.3530202,23552.0,7793.54934,15085440.6769807,0.0
30,2021-07-16 07:00:00,1928.31,1928.94,1904.43,1908.1,18147.49334,2021-07-16 07:59:59.999,34754140.9770837,24276.0,8169.67109,15642561.5879224,0.0
