OpenTime,LTC-USD_Open,LTC-USD_High,LTC-USD_Low,LTC-USD_Close,LTC-USD_volume,CloseTime,LTC-QuoteAssetVolume,LTC-NumberOfTrades,LTC-TBBAv,LTC-TBQAv,LTC-ignore,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAv,ETH-TBQAv,ETH-ignore,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAv,BTC-TBQAv,BTC-ignore
2022-06-14 01:00:00,43.5,43.5,42.8,43.2,5958.987,2022-06-14 01:04:59.999,256295.3983,633.0,1641.382,70688.5623,0.0,1209.35,1213.27,1200.0,1205.57,12952.2046,15622551.776765,10717.0,6426.6979,7752512.866717,0.0,22485.27,22525.84,22308.69,22405.43,1356.53805,30421246.8179194,13306.0,645.69203,14479256.0622097,0.0
2022-06-14 01:05:00,43.1,43.6,43.0,43.6,3755.194,2022-06-14 01:09:59.999,162861.9682,366.0,2318.756,100518.2576,0.0,1205.58,1223.32,1203.0,1222.27,15560.9308,18890258.765507,12254.0,8653.7805,10508350.339969,0.0,22405.43,22760.53,22380.54,22758.72,1570.15985,35442673.8091446,15486.0,902.92959,20379480.2897239,0.0
2022-06-14 01:10:00,43.5,43.9,43.4,43.8,3711.112,2022-06-14 01:14:59.999,161926.4428,426.0,2170.629,94717.6529,0.0,1221.92,1225.0,1217.33,1220.0,6417.2076,7833476.471234,6784.0,2691.8194,3285814.14309,0.0,22758.71,22796.71,22654.65,22699.73,983.19626,22334702.5508026,10258.0,473.43174,10755306.2722452,0.0
2022-06-14 01:15:00,43.8,43.9,43.2,43.6,5130.377,2022-06-14 01:19:59.999,223102.1081,591.0,2429.459,105666.4341,0.0,1219.99,1220.09,1207.11,1216.08,11429.1802,13864239.882052,9458.0,5365.8007,6506653.445956,0.0,22699.73,22703.79,22457.53,22546.82,1047.92265,23613474.6658579,10642.0,583.98184,13154310.6020594,0.0
2022-06-14 01:20:00,43.5,43.5,43.2,43.2,3848.498,2022-06-14 01:24:59.999,166950.4447,431.0,2353.533,102124.8895,0.0,1216.09,1216.82,1203.0,1205.02,6460.7313,7812902.961148,6442.0,2889.7591,3494993.132549,0.0,22546.82,22549.65,22335.27,22350.03,852.87486,19134431.0875086,8566.0,354.11503,7942651.2710847,0.0
2022-06-14 01:25:00,43.1,43.2,43.0,43.2,1951.035,2022-06-14 01:29:59.999,84107.8206,252.0,833.119,35925.3191,0.0,1205.02,1205.52,1194.31,1198.27,9856.3844,11814109.921866,8690.0,4030.1492,4830208.46266,0.0,22350.03,22351.55,22251.55,22313.49,666.62231,14863328.2593785,8363.0,391.63238,8732415.3558508,0.0
2022-06-14 01:30:00,43.1,43.3,43.0,43.3,1936.12,2022-06-14 01:34:59.999,83597.1038,245.0,1172.562,50621.6033,0.0,1198.26,1207.91,1195.14,1206.78,6021.1064,7238546.434524,6058.0,3024.1714,3635420.820039,0.0,22313.5,22467.35,22264.0,22438.43,584.29194,13074383.7816153,6930.0,350.19319,7833370.8244895,0.0
2022-06-14 01:35:00,43.3,43.5,43.1,43.1,3572.607,2022-06-14 01:39:59.999,154672.2841,375.0,1449.695,62782.0786,0.0,1206.77,1210.85,1195.81,1196.09,8163.8727,9836002.786948,6890.0,3710.6579,4471083.17715,0.0,22438.43,22470.03,22258.49,22258.57,453.36254,10143946.5586902,6458.0,222.65191,4981979.3045694,0.0
2022-06-14 01:40:00,43.1,43.6,43.0,43.5,5418.129,2022-06-14 01:44:59.999,235143.5599,476.0,3230.704,140217.5268,0.0,1196.09,1224.93,1194.84,1203.27,10003.9903,12021689.086407,7805.0,6263.3096,7528112.936932,0.0,22258.56,22549.99,22231.08,22367.19,1044.08493,23317408.050908,8953.0,598.7784,13377077.7746153,0.0
2022-06-14 01:45:00,43.5,43.6,43.2,43.2,1743.193,2022-06-14 01:49:59.999,75555.8514,210.0,753.644,32674.6072,0.0,1203.26,1203.27,1193.98,1194.31,4176.9121,5006708.578778,4551.0,1966.8092,2357493.759307,0.0,22367.2,22367.2,22200.0,22209.99,556.12977,12385678.6308129,6228.0,197.73039,4403518.8580436,0.0
2022-06-14 01:50:00,43.2,43.3,42.8,43.0,2355.964,2022-06-14 01:54:59.999,101373.9539,252.0,1426.531,61341.9235,0.0,1194.31,1197.12,1182.29,1182.57,8588.792,10212945.158468,7529.0,4615.1213,5485637.086283,0.0,22209.98,22239.51,22055.89,22065.39,728.02124,16129686.9541706,8995.0,369.85955,8194367.6421152,0.0
2022-06-14 01:55:00,42.9,43.1,42.6,42.6,3651.549,2022-06-14 01:59:59.999,156625.487,409.0,1330.133,57120.9568,0.0,1182.56,1185.78,1171.68,1172.53,14646.1703,17263580.545811,11957.0,6585.0525,7759504.405984,0.0,22065.39,22099.19,21756.73,21759.51,1801.089073,39486666.87528995,19470.0,766.859215,16812758.8303086,0.0
